ID;marca;tipogasolina;numero_puertas;tipo_carroceria;largo;ancho;peso;caballos_fuerza;rpm;precio
33;nissan;gas;two;hardtop; 162,4 ; 63,8 ; 53,3 ;69;5200;8249
34;plymouth;gas;two;hatchback; 157,3 ; 63,8 ; 50,8 ;68;5500;5572
35;plymouth;gas;two;hatchback; 157,3 ; 63,8 ; 50,8 ;102;5500;7957
36;plymouth;gas;four;hatchback; 157,3 ; 63,8 ; 50,6 ;68;5500;6229
37;plymouth;gas;four;sedan; 167,3 ; 63,8 ; 50,8 ;68;5500;6692
38;plymouth;gas;four;sedan; 167,3 ; 63,8 ; 50,8 ;68;5500;7609
39;subaru;gas;two;hatchback; 157,3 ; 63,8 ; 55,7 ;73;4400;7603
40;honda;gas;two;hatchback; 144,6 ; 63,9 ; 50,8 ;58;4800;6479
41;honda;gas;two;hatchback; 144,6 ; 63,9 ; 50,8 ;76;6000;6855
42;honda;gas;four;wagon; 157,1 ; 63,9 ; 58,3 ;76;6000;7295
43;honda;gas;two;hatchback; 150,0 ; 64,0 ; 52,6 ;60;5500;5399
44;honda;gas;two;hatchback; 150,0 ; 64,0 ; 52,6 ;76;6000;6529
45;honda;gas;two;hatchback; 150,0 ; 64,0 ; 52,6 ;76;6000;7129
46;honda;gas;four;sedan; 163,4 ; 64,0 ; 54,5 ;76;6000;7295
47;toyota;gas;two;sedan; 168,7 ; 64,0 ; 52,6 ;70;4800;8058
48;toyota;gas;two;hatchback; 168,7 ; 64,0 ; 52,6 ;70;4800;8238
49;toyota;gas;two;sedan; 168,7 ; 64,0 ; 52,6 ;112;6600;9298
50;toyota;gas;two;hatchback; 168,7 ; 64,0 ; 52,6 ;112;6600;9538
51;volkswagen;gas;two;hatchback; 165,7 ; 64,0 ; 51,4 ;90;5500;9980
52;alfa-romero;gas;two;convertible; 168,8 ; 64,1 ; 48,8 ;111;5000;13495
53;alfa-romero;gas;two;convertible; 168,8 ; 64,1 ; 48,8 ;111;5000;16500
54;mazda;gas;two;hatchback; 159,1 ; 64,2 ; 54,1 ;68;5000;5195
55;mazda;gas;two;hatchback; 159,1 ; 64,2 ; 54,1 ;68;5000;6095
56;mazda;gas;two;hatchback; 159,1 ; 64,2 ; 54,1 ;68;5000;6795
57;mazda;gas;four;sedan; 166,8 ; 64,2 ; 54,1 ;68;5000;6695
58;mazda;gas;four;sedan; 166,8 ; 64,2 ; 54,1 ;68;5000;7395
59;volkswagen;gas;two;convertible; 159,3 ; 64,2 ; 55,6 ;90;5500;11595
60;mitsubishi;gas;two;hatchback; 157,3 ; 64,4 ; 50,8 ;68;5500;5389
61;mitsubishi;gas;two;hatchback; 157,3 ; 64,4 ; 50,8 ;68;5500;6189
62;mitsubishi;gas;two;hatchback; 157,3 ; 64,4 ; 50,8 ;68;5500;6669
63;toyota;gas;four;sedan; 166,3 ; 64,4 ; 53,0 ;70;4800;6938
64;toyota;gas;four;hatchback; 166,3 ; 64,4 ; 52,8 ;70;4800;7198
65;toyota;diesel;four;sedan; 166,3 ; 64,4 ; 53,0 ;56;4500;7898
66;toyota;diesel;four;hatchback; 166,3 ; 64,4 ; 52,8 ;56;4500;7788
67;toyota;gas;four;sedan; 166,3 ; 64,4 ; 53,0 ;70;4800;7738
68;toyota;gas;four;hatchback; 166,3 ; 64,4 ; 52,8 ;70;4800;8358
69;toyota;gas;four;sedan; 166,3 ; 64,4 ; 52,8 ;70;4800;9258
70;dodge;gas;four;wagon; 174,6 ; 64,6 ; 59,8 ;88;5000;8921
71;plymouth;gas;four;wagon; 174,6 ; 64,6 ; 59,8 ;88;5000;8921
72;bmw;gas;two;sedan; 176,8 ; 64,8 ; 54,3 ;101;5800;16430
73;bmw;gas;four;sedan; 176,8 ; 64,8 ; 54,3 ;101;5800;16925
74;bmw;gas;two;sedan; 176,8 ; 64,8 ; 54,3 ;121;4250;20970
75;bmw;gas;four;sedan; 176,8 ; 64,8 ; 54,3 ;121;4250;21105
76;porsche;gas;two;hardtop; 168,9 ; 65,0 ; 51,6 ;207;5900;32528
77;porsche;gas;two;hardtop; 168,9 ; 65,0 ; 51,6 ;207;5900;34028
78;porsche;gas;two;convertible; 168,9 ; 65,0 ; 51,6 ;207;5900;37028
79;honda;gas;two;hatchback; 167,5 ; 65,2 ; 53,3 ;86;5800;7895
80;honda;gas;two;hatchback; 167,5 ; 65,2 ; 53,3 ;86;5800;9095
81;honda;gas;four;sedan; 175,4 ; 65,2 ; 54,1 ;86;5800;8845
82;honda;gas;four;sedan; 175,4 ; 65,2 ; 54,1 ;101;5800;12945
83;isuzu;gas;two;hatchback; 172,6 ; 65,2 ; 51,4 ;90;5000;11048
84;nissan;gas;four;hatchback; 173,4 ; 65,2 ; 54,7 ;97;5200;8949
85;nissan;gas;four;sedan; 173,4 ; 65,2 ; 54,7 ;97;5200;9549
86;mitsubishi;gas;two;hatchback; 173,0 ; 65,4 ; 49,4 ;116;5500;9959
87;mitsubishi;gas;two;hatchback; 173,0 ; 65,4 ; 49,4 ;88;5000;8499
88;mitsubishi;gas;four;sedan; 172,4 ; 65,4 ; 51,6 ;88;5000;6989
89;mitsubishi;gas;four;sedan; 172,4 ; 65,4 ; 51,6 ;88;5000;8189
90;mitsubishi;gas;four;sedan; 172,4 ; 65,4 ; 51,6 ;116;5500;9279
91;mitsubishi;gas;four;sedan; 172,4 ; 65,4 ; 51,6 ;116;5500;9279
92;subaru;gas;four;sedan; 172,0 ; 65,4 ; 52,5 ;82;4800;7126
93;subaru;gas;four;sedan; 172,0 ; 65,4 ; 52,5 ;82;4400;7775
94;subaru;gas;four;sedan; 172,0 ; 65,4 ; 52,5 ;94;5200;9960
95;subaru;gas;four;sedan; 172,0 ; 65,4 ; 54,3 ;82;4800;9233
96;subaru;gas;four;sedan; 172,0 ; 65,4 ; 54,3 ;111;4800;11259
97;subaru;gas;four;wagon; 173,5 ; 65,4 ; 53,0 ;82;4800;7463
98;subaru;gas;four;wagon; 173,5 ; 65,4 ; 53,0 ;94;5200;10198
99;subaru;gas;four;wagon; 173,6 ; 65,4 ; 54,9 ;82;4800;8013
100;subaru;gas;four;wagon; 173,6 ; 65,4 ; 54,9 ;111;4800;11694
101;alfa-romero;gas;two;hatchback; 171,2 ; 65,5 ; 52,4 ;154;5000;16500
102;volkswagen;diesel;two;sedan; 171,7 ; 65,5 ; 55,7 ;52;4800;7775
103;volkswagen;gas;two;sedan; 171,7 ; 65,5 ; 55,7 ;85;5250;7975
104;volkswagen;diesel;four;sedan; 171,7 ; 65,5 ; 55,7 ;52;4800;7995
105;volkswagen;gas;four;sedan; 171,7 ; 65,5 ; 55,7 ;85;5250;8195
106;volkswagen;gas;four;sedan; 171,7 ; 65,5 ; 55,7 ;85;5250;8495
107;volkswagen;diesel;four;sedan; 171,7 ; 65,5 ; 55,7 ;68;4500;9495
108;volkswagen;gas;four;sedan; 171,7 ; 65,5 ; 55,7 ;100;5500;9995
109;toyota;gas;two;hardtop; 176,2 ; 65,6 ; 52,0 ;116;4800;8449
110;toyota;gas;two;hardtop; 176,2 ; 65,6 ; 52,0 ;116;4800;9639
111;toyota;gas;two;hatchback; 176,2 ; 65,6 ; 52,0 ;116;4800;9989
112;toyota;gas;two;hardtop; 176,2 ; 65,6 ; 52,0 ;116;4800;11199
113;toyota;gas;two;hatchback; 176,2 ; 65,6 ; 52,0 ;116;4800;11549
114;toyota;gas;two;convertible; 176,2 ; 65,6 ; 53,0 ;116;4800;17669
115;mazda;gas;two;hatchback; 169,0 ; 65,7 ; 49,6 ;101;6000;10945
116;mazda;gas;two;hatchback; 169,0 ; 65,7 ; 49,6 ;101;6000;11845
117;mazda;gas;two;hatchback; 169,0 ; 65,7 ; 49,6 ;101;6000;13645
118;mazda;gas;two;hatchback; 169,0 ; 65,7 ; 49,6 ;135;6000;15645
119;honda;gas;two;sedan; 169,1 ; 66,0 ; 51,0 ;100;5500;10345
120;mazda;gas;four;sedan; 175,0 ; 66,1 ; 54,4 ;120;5000;18280
121;mazda;diesel;four;sedan; 175,0 ; 66,1 ; 54,4 ;72;4200;18344
122;audi;gas;four;sedan; 176,6 ; 66,2 ; 54,3 ;102;5500;13950
123;audi;gas;two;sedan; 177,3 ; 66,3 ; 53,1 ;110;5500;15250
124;dodge;gas;two;hatchback; 173,2 ; 66,3 ; 50,2 ;145;5000;12964
125;mitsubishi;gas;two;hatchback; 173,2 ; 66,3 ; 50,2 ;145;5000;12629
126;mitsubishi;gas;two;hatchback; 173,2 ; 66,3 ; 50,2 ;145;5000;14869
127;mitsubishi;gas;two;hatchback; 173,2 ; 66,3 ; 50,2 ;145;5000;14489
128;plymouth;gas;two;hatchback; 173,2 ; 66,3 ; 50,2 ;145;5000;12764
129;audi;gas;four;sedan; 176,6 ; 66,4 ; 54,3 ;115;5500;17450
130;mazda;gas;two;hatchback; 177,8 ; 66,5 ; 53,7 ;84;4800;8845
131;mazda;gas;four;sedan; 177,8 ; 66,5 ; 55,5 ;84;4800;8495
132;mazda;gas;two;hatchback; 177,8 ; 66,5 ; 53,7 ;84;4800;10595
133;mazda;gas;four;sedan; 177,8 ; 66,5 ; 55,5 ;84;4800;10245
134;mazda;diesel;two;sedan; 177,8 ; 66,5 ; 55,5 ;64;4650;10795
135;mazda;gas;four;hatchback; 177,8 ; 66,5 ; 55,5 ;84;4800;11245
136;nissan;gas;four;sedan; 181,7 ; 66,5 ; 55,1 ;152;5200;13499
137;nissan;gas;four;wagon; 184,6 ; 66,5 ; 56,1 ;152;5200;14399
138;nissan;gas;four;sedan; 184,6 ; 66,5 ; 55,1 ;152;5200;13499
139;renault;gas;four;wagon; 181,5 ; 66,5 ; 55,2 ;152;5200;9295
140;saab;gas;two;hatchback; 186,6 ; 66,5 ; 56,1 ;110;5250;11850
141;saab;gas;four;sedan; 186,6 ; 66,5 ; 56,1 ;110;5250;12170
142;saab;gas;two;hatchback; 186,6 ; 66,5 ; 56,1 ;110;5250;15040
143;saab;gas;four;sedan; 186,6 ; 66,5 ; 56,1 ;110;5250;15510
144;saab;gas;two;hatchback; 186,6 ; 66,5 ; 56,1 ;160;5500;18150
145;saab;gas;four;sedan; 186,6 ; 66,5 ; 56,1 ;160;5500;18620
146;toyota;gas;four;sedan; 175,6 ; 66,5 ; 54,9 ;92;4200;8948
147;toyota;diesel;four;sedan; 175,6 ; 66,5 ; 54,9 ;73;4500;10698
148;toyota;gas;four;hatchback; 175,6 ; 66,5 ; 53,9 ;92;4200;9988
149;toyota;gas;four;sedan; 175,6 ; 66,5 ; 54,9 ;92;4200;10898
150;toyota;gas;four;hatchback; 175,6 ; 66,5 ; 53,9 ;92;4200;11248
151;toyota;gas;four;sedan; 187,8 ; 66,5 ; 54,1 ;156;5200;15690
152;toyota;gas;four;wagon; 187,8 ; 66,5 ; 54,1 ;156;5200;15750
153;renault;gas;two;hatchback; 176,8 ; 66,6 ; 50,5 ;82;4800;9895
154;bmw;gas;four;sedan; 189,0 ; 66,9 ; 55,7 ;121;4250;24565
155;bmw;gas;four;sedan; 189,0 ; 66,9 ; 55,7 ;182;5400;30760
156;volkswagen;gas;four;sedan; 180,2 ; 66,9 ; 55,1 ;110;5500;13295
157;volkswagen;diesel;four;sedan; 180,2 ; 66,9 ; 55,1 ;68;4500;13845
158;volkswagen;gas;four;wagon; 183,1 ; 66,9 ; 55,1 ;88;5500;12290
159;volvo;gas;four;sedan; 188,8 ; 67,2 ; 56,2 ;114;5400;12940
160;volvo;gas;four;wagon; 188,8 ; 67,2 ; 57,5 ;114;5400;13415
161;volvo;gas;four;sedan; 188,8 ; 67,2 ; 56,2 ;114;5400;15985
162;volvo;gas;four;wagon; 188,8 ; 67,2 ; 57,5 ;114;5400;16515
163;volvo;gas;four;sedan; 188,8 ; 67,2 ; 56,2 ;162;5100;18420
164;volvo;gas;four;wagon; 188,8 ; 67,2 ; 57,5 ;162;5100;18950
165;toyota;gas;two;hatchback; 183,5 ; 67,7 ; 52,0 ;161;5200;16558
166;toyota;gas;two;hatchback; 183,5 ; 67,7 ; 52,0 ;161;5200;15998
167;audi;gas;two;hatchback; 178,2 ; 67,9 ; 52,0 ;160;5500;NA
168;bmw;gas;two;sedan; 193,8 ; 67,9 ; 53,7 ;182;5400;41315
169;nissan;gas;two;hatchback; 170,7 ; 67,9 ; 49,7 ;160;5200;17199
170;nissan;gas;two;hatchback; 170,7 ; 67,9 ; 49,7 ;200;5200;19699
171;nissan;gas;two;hatchback; 178,5 ; 67,9 ; 49,7 ;160;5200;18399
172;mercury;gas;two;hatchback; 178,4 ; 68,0 ; 54,8 ;175;5000;16503
173;peugot;gas;four;sedan; 186,7 ; 68,3 ; 56,0 ;142;5600;18150
174;porsche;gas;two;hatchback; 168,9 ; 68,3 ; 50,2 ;143;5500;22018
175;peugot;gas;four;sedan; 186,7 ; 68,4 ; 56,7 ;97;5000;11900
176;peugot;diesel;four;sedan; 186,7 ; 68,4 ; 56,7 ;95;4150;13200
177;peugot;gas;four;wagon; 198,9 ; 68,4 ; 58,7 ;97;5000;12440
178;peugot;diesel;four;wagon; 198,9 ; 68,4 ; 58,7 ;95;4150;13860
179;peugot;gas;four;sedan; 186,7 ; 68,4 ; 56,7 ;95;5000;15580
180;peugot;diesel;four;sedan; 186,7 ; 68,4 ; 56,7 ;95;4150;16900
181;peugot;gas;four;wagon; 198,9 ; 68,4 ; 56,7 ;95;5000;16695
182;peugot;diesel;four;wagon; 198,9 ; 68,4 ; 58,7 ;95;4150;17075
183;peugot;gas;four;sedan; 186,7 ; 68,4 ; 56,7 ;97;5000;16630
184;peugot;diesel;four;sedan; 186,7 ; 68,4 ; 56,7 ;95;4150;17950
185;volvo;gas;four;sedan; 188,8 ; 68,8 ; 55,5 ;160;5300;19045
186;volvo;gas;four;sedan; 188,8 ; 68,9 ; 55,5 ;114;5400;16845
187;volvo;gas;four;sedan; 188,8 ; 68,9 ; 55,5 ;134;5500;21485
188;volvo;diesel;four;sedan; 188,8 ; 68,9 ; 55,5 ;106;4800;22470
189;volvo;gas;four;sedan; 188,8 ; 68,9 ; 55,5 ;114;5400;22625
190;jaguar;gas;four;sedan; 199,6 ; 69,6 ; 52,8 ;176;4750;32250
191;jaguar;gas;four;sedan; 199,6 ; 69,6 ; 52,8 ;176;4750;35550
192;mercedes-benz;diesel;four;sedan; 190,9 ; 70,3 ; 56,5 ;123;4350;25552
193;mercedes-benz;diesel;four;wagon; 190,9 ; 70,3 ; 58,7 ;123;4350;28248
194;mercedes-benz;diesel;two;hardtop; 187,5 ; 70,3 ; 54,9 ;123;4350;28176
195;mercedes-benz;gas;two;convertible; 180,3 ; 70,5 ; 50,8 ;155;4750;35056
196;jaguar;gas;two;sedan; 191,7 ; 70,6 ; 47,8 ;262;5000;36000
197;bmw;gas;four;sedan; 197,0 ; 70,9 ; 56,3 ;182;5400;36880
198;audi;gas;four;sedan; 192,7 ; 71,4 ; 55,7 ;110;5500;17710
199;audi;gas;four;wagon; 192,7 ; 71,4 ; 55,7 ;110;5500;18920
200;audi;gas;four;sedan; 192,7 ; 71,4 ; 55,9 ;140;5500;23875
201;mercedes-benz;diesel;four;sedan; 202,6 ; 71,7 ; 56,3 ;123;4350;31600
202;mercedes-benz;gas;four;sedan; 202,6 ; 71,7 ; 56,5 ;155;4750;34184
203;mercedes-benz;gas;four;sedan; 208,1 ; 71,7 ; 56,7 ;184;4500;40960
204;mercedes-benz;gas;two;hardtop; 199,2 ; 72,0 ; 55,4 ;184;4500;45400
205;porsche;gas;two;hatchback; 175,7 ; 72,3 ; 50,5 ;288;5750;NA
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
